linha,scenario,date_range,limit_ms,days_exceeding,total_days,n_cells,pct
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP1-2.6,2041-2060,6.760849511707931,1489,7305,3,20.38
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP2-4.5,2021-2040,6.760849511707931,1585,7305,3,21.7
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP2-4.5,2031-2050,6.760849511707931,1639,7305,3,22.44
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP2-4.5,2041-2060,6.760849511707931,1712,7305,3,23.44
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP3-7.0,2021-2040,6.760849511707931,1358,7305,3,18.59
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP3-7.0,2031-2050,6.760849511707931,1510,7305,3,20.67
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,SSP3-7.0,2041-2060,6.760849511707931,1617,7305,3,22.14
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,historical,1995-2014,7.092760240520819,731,7305,1,10.01
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,SSP1-2.6,2021-2040,7.092760240520819,906,7305,1,12.4
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,SSP1-2.6,2031-2050,7.092760240520819,919,7305,1,12.58
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,SSP1-2.6,2041-2060,7.092760240520819,996,7305,1,13.63
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,SSP2-4.5,2021-2040,7.092760240520819,1001,7305,1,13.7
