linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,n_cells,pct
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP1-2.6,2041-2060,314.4534579264323,41.303457926432316,69,7305,1,0.94
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2021-2040,314.4534579264323,41.303457926432316,62,7305,1,0.85
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP2-4.5,2041-2060,314.4534579264323,41.303457926432316,128,7305,1,1.75
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2021-2040,314.4534579264323,41.303457926432316,73,7305,1,1.0
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2031-2050,314.4534579264323,41.303457926432316,87,7305,1,1.19
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,SSP3-7.0,2041-2060,314.4534579264323,41.303457926432316,106,7305,1,1.45
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,historical,1995-2014,310.38949749348956,37.23949749348958,74,7305,1,1.01
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2021-2040,310.38949749348956,37.23949749348958,91,7305,1,1.25
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2031-2050,310.38949749348956,37.23949749348958,121,7305,1,1.66
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP1-2.6,2041-2060,310.38949749348956,37.23949749348958,112,7305,1,1.53
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2021-2040,310.38949749348956,37.23949749348958,102,7305,1,1.4
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2031-2050,310.38949749348956,37.23949749348958,157,7305,1,2.15
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP2-4.5,2041-2060,310.38949749348956,37.23949749348958,234,7305,1,3.2
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2021-2040,310.38949749348956,37.23949749348958,125,7305,1,1.71
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2031-2050,310.38949749348956,37.23949749348958,161,7305,1,2.2
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,SSP3-7.0,2041-2060,310.38949749348956,37.23949749348958,233,7305,1,3.19
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,historical,1995-2014,310.41183090305435,37.261830903054374,74,7305,1,1.01
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2021-2040,310.41183090305435,37.261830903054374,111,7305,1,1.52
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2031-2050,310.41183090305435,37.261830903054374,117,7305,1,1.6
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP1-2.6,2041-2060,310.41183090305435,37.261830903054374,113,7305,1,1.55
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2021-2040,310.41183090305435,37.261830903054374,99,7305,1,1.36
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2031-2050,310.41183090305435,37.261830903054374,132,7305,1,1.81
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP2-4.5,2041-2060,310.41183090305435,37.261830903054374,206,7305,1,2.82
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2021-2040,310.41183090305435,37.261830903054374,121,7305,1,1.66
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,SSP3-7.0,2031-2050,310.41183090305435,37.261830903054374,141,7305,1,1.93
